int,int
Level,MaxEnergy
레벨,최대에너지
@,
1,100
2,110
3,120
4,130
5,140
6,150
7,160
8,170
9,180
10,190
11,200
12,210
13,220
14,230
15,240
16,250
17,260
18,270
19,280
20,290
21,300
22,310
23,320
24,330
25,340
26,350
27,360
28,370
29,380
30,390
31,400
32,410
33,420
34,430
35,440
36,450
37,460
38,470
39,480
40,490
41,500
42,510
43,520
44,530
45,540
46,550
47,560
48,570
49,580
50,590
51,600
52,610
53,620
54,630
55,640
56,650
57,660
58,670
59,680
60,690
61,700
62,710
63,720
64,730
65,740
66,750
67,760
68,770
69,780
70,790
71,800
72,810
73,820
74,830
75,840
76,850
77,860
78,870
79,880
80,890
81,900
82,910
83,920
84,930
85,940
86,950
87,960
88,970
89,980
90,990
91,1000
92,1010
93,1020
94,1030
95,1040
96,1050
97,1060
98,1070
99,1080
100,1090
